content,syllabus
welcome cse cse principles programming java spring syllabus course information school computing informatics decision systems engineering asu course web page www asu edu myasu meeting time mwf p discovery instructor office hours instructor dr janaka balasooriya office brickyard th floor phone email janakab asu edu office hours mw room discovery hall w brickyard th brickyard online https connect asu edu cse sp time dates announced c lass hours convenient happy make appointment meet times teaching assistants aaron gottesman aarong asu edu course catalog description concepts problem solving using java algorithm design structured programming fundamental algorithms techniques computer systems concepts social ethical responsibility course objectives outcome course designed give solid understandin g programming java language beginning programmer upon successful completion course equipped problem analysis algorithm design techniques structured object oriented programming concepts good understan ding java programming language students complete course develop java programs using primitive types use predefined classes programs math string random classes read understand java programs includes multiple methods control flow arrays inheritance develop java programs multiple classes writing methods control flow arrays including concepts inheritance polymorphism develop java programs applying object oriented programming approach inheritance polymorphism understand use static methods variables understand searching basic sorting algorithms understand basics recursion write simple program using recursion maj topics covered course introduction problem solving requirements specifications algorithms java primiti data types control structures selection else statements switch statements repetition lo ops,yes
csce introduction computer science class syllabus spring instructor jeremy suing computer science lecturer office c kauffman avery phone e mail jsuing cse unl edu office hours p f r b appointment teaching assistants shant karak ashian lab manager office avery phone email shantk cse unl edu office hours r cse resource center abhishek majumdar office avery phone email majumdar cse unl edu office hours p r cse resource center lectures labs regular lecture section regular lab sections time pm mwf section pm ro om avery hall section pm section pm w room avery hall cse computing facilities class supported cse student computing laborator located avery students provided account accessing laboratory computers hosting software required course cse student resource center resources cse student resource center located avery provides students class first line technical support assistance course work assignments perspectives upper class cse majors academic professional matters cse department websit e provides information departmental resources,yes
cse introduction computer science majors fall university buffalo department computer science engineering davis hall syllabus please read sheet carefully save future reference instructor name office phone email office hours dr carl alphonce davis alphonce buffalo edu tues day pm wednesday pm pm friday pm e mail appointment teaching assistants see course website course information credit hours cse introduction computer science majors credits cse computer science non majors credits http www cse buffalo edu faculty alphonce cse ixlearn com dashboard slymne course description course p rovides fundamentals field computer science computer engineering majors introducing students algorithm design implementation modern high level programming languag e emphasis problem solving abstraction topics include object oriented design using formal modeling language fundamental object oriented principles classes objects interfaces inheritance polymorphism simple event driven pr ogramming data types variables expressions basic imperative programming techniques including assignment input output subprograms parameters sequencing selection iteration use aggregate data structures arrays general c ollections simple design patterns course website contains detailed day day schedule topics covered student learning outcomes course adheres closely recommendations acm cc curriculum document first semester introductory course covers topics following knowledge units pf fundamental programming constructs pf algorithms problem solving pf event driven programming pl overview programming languages pl declarations ypes pl abstraction mech anisms pl object oriented programming hc building simple graphical user interface se software design se using apis se software tools environments course required computer engineering bs students addresses following student outcomes bs computer engineering program cen ability apply knowledge mathematics probability statistics computer science electrical engineering applies fields computer software hardware cen e ability identify formulate solve hardware software computer engineering problems using sound computer engineering principles cen g ability effectively communicate technical information speech prese ntation writing cen k ability use techniques skills modern hardware software engineering tools necessary computer engineering practice course required computer science bs students addresses following student outcomes bs computer science program cs ability apply knowledge computing mathematics appropriate discipline cs f ability communicate effectively range audiences cs ability use current techniques skills tools necessary computing practice,yes
course syllabus id valid autumn edition page id programming creditsprogrammering icourse syllabus id valid autumn edition intended learning outcomesupon completion course student able analyze explain modify expand simple program terms fundamental programming constructs concepts describe representation numeric character data discuss use primitive data types built data structures design implement test debug program using basic computation simple standard conditional iterative structures definition functions discuss importance algorithms identify necessary properties good algorithms create algorithms solving simple problems develop code responds exceptional situations execution justify philosophy object oriented design concepts encapsulation abstraction inheritance polymorphism design implement test debug simple programs object oriented programming language course main contentfundamental constructs basic syntax semantics higher level languagevariables types expressions assignmentsimple oconditional iterative control structuresfunctions parameter passingstructured decompositiondata structures representation numeric datarange precision rounding errorsarraysrepresentation character datastrings string processingruntime storage managementpointers referencesalgorithmic problem solving problem solving strategiesthe role algorithms problem solving processimplementation strategies algorithmsdebugging strategiesthe concept properties algorithms,yes
comp fundamentals computing credit hours lecture contact hours lecture lab catalog description introduction fundamental concepts programming object oriented perspective emphasis good software engineering princip les development fundamental programming skills context language supports object oriented paradigm prerequisites none corequisites none required course csci ecpe swen wirs instructor course coordinator dr james cross required textbook lewis john loftus william java software solutions th edition software used applicable java j se development kit jdk u later http www oracle com technetwork java javase downloads index html jgrasp ide http www jgrasp org junit testing framework http junit org junit checkstyle static code analysis tool http checkstyle sourceforge net course outcomes student able design implement simple programs based inform al problem specification implement classes methods provided informal specification apply concepts techniques object oriented programming perform informal testing debugging techniques understand interdependencies object oriented program topics covered introduction overview hours data expressions hours using classes objects hours writing classes hours conditionals loops hours enhancing classes hours arrays hours inheritance polymorphism hours exceptions hours,yes
course descriptionthe university manitoba undergraduate calendar describes course follows introduction computer programming using procedural high level language held comp former course assumes prior knowle dge programming course assume student familiar wi th using computer tasks browsing web basic use application software installing new software intent learn problem solving computer programming variety students using high level computer programming language currently programming language java high level object oriented programming language course goals upon completion course able summarise fundamentals computers explain follow process writing compiling executing programs high level programming languages infer java write run anywhere st rategy alters process distinguish differ ent primitive data types used identify differences primitive complex class data types write complicated mathematical expressions using operators methods utilise program input output create programs use decision making repetition structures develop step step methods lving elementary problems use methods write appropriate computer programs apply strategy reduce complicated problems sequence methods analyse simple programs establish output behaviour would locate identify fix errors programs construct use simple classes object oriented programming apply arrays store manipulate collections data course materialscomputer system requirementssyllabus file h de course production de production comp ol syllabus pm,yes
cs introduction computing using python credit hours prerequisites basic high school mathematics calculus programming experience catalogue description programming problem solving using python emphasizes principles sof ware development style testing topics include procedures functions iteration recursion arrays vectors strings operational model procedure function calls algorithms exceptions object oriented programming guis graphical use r interfaces weekly labs provide guided practice computer staff present help assignments use graphics guis help develop fluency u n derstanding required elective common curric ulum course one cs r equired textbook required materials downey allen b think python think like computer scientist reilly obtain free pdf http www greenteapress com thinkpython anaconda free development environment python installation details course website http www cs cornell edu courses cs sp materials python php cou rse objectives primary goal cs give students basic introduction object oriented proc edural programming using python topics covered primitive types class types functions procedures fruitful functions including recur sion basic statements assignment statements loops blocks function calls objects classes including subclasses inheritance overriding sequences dictionaries testing debugging program development stepwise refinement top desig n object oriented design basic searching sorting algorithms model execution programming style considerations class laboratory schedule two minute lectures per week one minute lab per week contribution course meeting profes sional component course contributes item professional component one year combination co l lege level mathematics basic sciences appropriate discipline item b engineering e sign course outcomes rela tion abet program outcomes k fluent use procedural statements assignments conditional statements loops function calls sequences able design code test small python programs meet requir e ments expressed engli sh includes basic understanding top design b c understand concepts object oriented programming used python classes subclasses n heritance overriding understand basics oo esign b c k knowle dge basic searching sorting algorithms knowledge basics vector computation k assessment course ou tcomes course outcomes assessed examination midterm tests final student submitted homework programming assignments person preparing description date walker white august adapted original david gries december,yes
courseoutline fall iti sectionsa b introductiontocomputingi instructor vidadujmovi c vida dujmovic uottawa ca http cglab ca vida ce site coursewebpage https uottawa blackboard com cehoursoftheinstructorandtas tba overview problemsolvingandalgorithmdesign basicprinciplesofsoftwareengineer ing structuredecomposition documentation testinganddebugging variabletypes expressionsandassignment conditionalanditerativecontrolstructures modules andparameterpassing recursion fundamentaldatastructures arrays strings matrices records introductiontoobjects hoursoflectures hoursoflabper week coursetextbookandmaterial requiredtextbook thetextbookisavailableattheagorabookstore notatthe campusbookstore agoraisoperatedbythestudentfederationoftheuniversityof ottawaandislocatedat bessererstreet nearthecornerofwaller youcanalso buyitonline http www agorabookstore ca textbooks lang en thisisacustomizedtextbookforthiscourse withonlythenecessarychaptersfrom ajavabook computerscience custompublicationuniversityofottawa isbn basedon introductiontojavaprogramming byy liang costapprox otherrequiredmaterial allothercoursematerial includinglabsandassign ments willbepostedonthecoursewebpageontheblackboardlearnsystem https uottawa blackboard com,yes
inf fundamentalsofinformationtechnology introductiontorprogramming fall jagdishs gangolly departmentofinformatics collegeofcomputing information stateuniversityofnewyorkatalbany administrivia draper availableonlinethroughoutthesemesterforchatat gangolly ongchatandaim jagdish onskypeandbyphoneat email jgangolly albany edu catalogdescription auniversity widethatintroducesfundamentalsofinformationtechnologyin anintensivegraduateformat thecoursefocusesonselectedtopicssuchasdatabase applications introductiontoprogramming webtechnologies andunixandnetwork ingthatareinonecreditmodules eachlastingforhalfasemester,yes
comp c foundationsofprogramming mcgilluniversity summer coursedetails instructor sandeepmanjanna mcconnellengineeringbuilding mc hours thursday orbyappointment section contactinfo sandeep manjanna mcgill ca lectureroom burn b burnsidebuilding classtimes r importantlinks mycourses webctvista http www mcgill ca lms contactinginstructorsandteachingassistants postallyourquestionsaboutassignmentsonthemycoursesmessageboardssoeveryonecanseeboththe questionsandtheanswers youmayfreelyanswerotherstudents questionsaswell withoneimportant exception youmaynotprovidesolutioncode althoughyouarepermittedtoprovideoneortwolinesof codetoillustrateapoint ofcourse youcansende mailtoateachingassistantorinstructordirectlyfor privatematters tothatend youmayusethee mailfacilitiesprovidedbymcgilloranye mailaccountyou havewithanye mailprovider studentsareexpectedtomonitortheirmcgille mailaccount mycourses andthecourse homepageforcourse relatednewsandinformation coursedescription welcometocomp pleasereadthisdocumentcarefullyandkeepitforreferencethroughoutthe term thiscourseintroducesstudentstocomputerprogrammingandisintendedforthosewithlittleornoback groundinthesubject noknowledgeofcomputerscienceingeneralisnecessaryorexpected ontheother hand basiccomputerskillssuchasbrowsingtheweb sendinge mail creatingdocumentswithaword processor andothersuchfundamentaltaskswillbeavaluableassetinthiscourse thecourseusesthejavaprogramminglanguage javaisanexampleofan object oriented language asare c andmanyothers wewillseewhatthistermmeanslaterinthecourse otherkindsofprogramming languagesincludefunctionalandlogicalprogramminglanguages despitethesetherearesome basicbuildingblocksinalllanguagesthatarefundamentaltoprogrammingandsoftwaredevelopment largepartofthiscoursewillfocusonthesebasicbuildingblocksbeforewemovetoobject orientedorother language spconcepts,yes
semester year course offered department course number name computer science programming instructor e mail address office telephone class schedule office hours web page piazza teaching assistants gandhimathi velusamy christos smailis samad virani mentors nguyen hoang anh nguyen juan buena information contained class syllabus subject change without notice students expected aware additional cou rse policies presented instructor course students requested bring functioning laptop computer every class people failing assignments examinations fail course closed book single page points per day,yes
b c e fgg h e e ijgbk b e e ij l k b fgg b n e j b b e bp q r b stu c p j l g p k pp p k v r p k su wb stu r e bp jjjkx l k h x l l b z u j b e p k b u j b j b bee b e l db u x k g pb g k b k c r l p e j b b j b k p p bb xx q e f g h jkl j cd l e e j jk e b e j b e j j k u z b zzk b k u z b z k b k c b k c c b zk b zk c b k b k c z b z k c j,yes
cs solving problems computers syllabus spring class time tu th pm pm location buchanan instructor ziad matni email zmatni cs ucsb edu office hours tu smss lab times w pm pm pm pm phelp class main website https ucsb cs github io class piazza site https piazza com ucsb spring cs catalog description https www cs ucsb edu education courses cmpsc class overview students learn fundamental principles concepts computers programming including structured programming techniques students learn use python interpreter write pyt hon programs using python class use anything older version computer science study abstractions algorithms computer science abstraction useful representation something real wo rld allows us work easily efficiently algorithm well defined step step sequence instructions used mechanically determine solution well defined problem computers machines proc ess algorithms help code programs learning program requires time perseverance consistent practice exactly like practicing musical instrument field sport cooking gourmet meal science behind programming also technique requires get hands dirty practice practi ce practice bound make mistakes ok learn making mistakes mean learning afraid trying something initially clue remember practicing early often make better programmer end means procrastinate wait last mome nt assignments homework knew already need know take course little prior exposure computer science assumed beginner class cs learn end course opportunity learn things though necessarily order care ques tion regarding computer science role society problem solving abstraction memory concepts variables names types values assignment statements strings characters control structures loops else loops,yes
computerscience cs iprogrammingandproblemsolving sections callnumbers coursesyllabus spring michaelrothstein kentstateuniversity collegeofa deptofcomputerscience phone email rothsteiatcs kent edu dates january tomay final pm monday may courseoverview thegoalofthecourseistofamiliarizethestudentswith programminginahigh levelobject orientedlanguage c whilestudy ingthemainconstructsofc thestudentswilllearntotranslatealgo rithmsintocorrectprogramsaswellastodebug documentandmaintain thecode thec constructscoveredinclude conditionalandloopstatements functions arrays pointers objectclasses dynamicmemoryallocation timepermittingwewillalsostudystandardtemplatelibraryandinheri tance courseorganization thiscoursewillbetaughtina reverselecture format thelectureswillbeprerecordedandavailableonblackboard wewillmeet intheclassroomtodiscussandexpandonthelectures yourhomework foreachlecturewillbetolistenandunderstandthelecture anddothe assignedexercises timeandplace monday wednesday pminroom msb lab section tuesday inroom msb lab section thursday inroom msb instructor michaelrothstein msb phone emailaddress rothsteiatcs kent eduormrothsteatkent edu pleasedonot sendmailtobothatonce llsimplygetittwiceandthinkitisspam substitute bestwaytoreachmeisthroughemailatthecs kent eduaddressorduring mycehours irecommendyouemailmedirectly youcanalsouse blackboardemail sincethatreachesmedirectlyalso iwilltrytoanswer emailwithin hours withprioritygiventocsorblackboardemail however pleasedonotcountonaninstantresponse imaybeotherwise occupied instructor swebaddress http www cs kent edu rothsteithiswebsite willcontainacopyofthissyllabus,yes
university houston department computer science course syllabus cosc computer programming ii class number term spring lectures ti location pm th pgh instructor dr guonin g chen email gchen uh edu office pgh office hours tu th coursedescription course introduction oop princi ple encapsulation data hiding using high level language c java including ppropriate access privileges members private data public private methods usin g unified modeling language uml main topics include abstract classes object composition inheritance polymorphism files graphic interfaces java requiredreading resources absolute c absolute java walter savi tch addison wesley edition preferably th violet http alexdp free fr vio letumleditor page php http www youtube com watch v ztafyrbntes feature related use violet software microsoft visual studio eclipse recommended classic xcode required technology students required buy clicker use previously registered clicker clickers may purchased cougar byte uc uh career instructions registering clicker webct appear last page syllabus,yes
cs introduction computer science course syllabus text starting c th edition tony gaddis et al published addison wesley isbn meets section tr room de prerequisites c better math math act least credits instructor prof amanda hughes email amanda hughes usu edu office old main f office hours tr ta grader kenyan pope kenyan pope aggiemail usu edu office hours location f pm room catalog description introduction science problem solving programming program development algorithm analysis data structures students learn develop c orrect software current programming language environment computer science majors must enroll cs concurrently cs prerequisite grade c better math math act score least f sp su credit hours lecture hours translation learn program pull hair bang head monitor consider changing major learn work wee hours morning stick one mportant courses take undergraduate want help every one process show write programs quickly successfully end semester understand zen computer prog ramming course objectives objective level proficiency evaluation method data types mastery programming assignments quizzes exams conditional operations mastery programming,yes
module descriptor fundamentals programming module code cos b academic year credit rating school school electrical engineering computer science subject area computer science fheq level fheq level module leader dr paul trundle additional tutors dr dhavalkumar thakker pre requisites co requisites contact hours type hours lectures laboratory directed study availability periods occurrence code location period nla namal college semester sep jan bda university bradford semester sep jan module aims introduce fundamental principles computer programming software construction develop skills problem solving applied computer programming,yes
cs ece introduction computer science credits contact h credits lecture hrs week lab hours week instructor course coordinator n ame bruce maclennan textbook supplemental material learning computing w ith robots c ed deepak kumar b think like computer scientist learning c allen b downey c online notes example programs specific course nformation catalog description problem solving algorithm developmen organization characteristics modern digital computers emphasis software engineering building abstractions procedures data programming modern computer language includes level design projects require laborator work b prerequisites co requisites none c required specific goals c ourse specific outcomes instruction students gain experience algorithmic problem solving students able understand apply basic programming techniques students understand apply basic approaches program development students able read write basic c programs b student utcomes listed criterion engineering accreditation commission statement studen outcomes course outcomes b c e f g h j k l l alg problem solving x x basic prog techniques x x program development x x c prog x,yes
cs introduction comp uting syllabus fall mathematics computer science department cs introduction com puting fall semester http www cs clarku e du cs class meetings bp section tue fri pm pm section tue fri pm p bp tba section tue thur john magee instructor sections jmagee clarku edu always include cs subject office hours bp mon pm pm tue fri pm pm approx appointment frederic green instructor section fgreen clarku edu office hours bp tue thur pm appointment lab meetings bp section mon pm pm section mon pm pm section tue pm pm teaching assistants tba always include cs subject tuto ring hours held cs lab bp mon thurs nights course description course introduction computer science object oriented programming vehicle programming java language alice course focus skill programming sure also attempt introduce student discipline computer science serves stand alone rigorous sample computer science suitable math science majors also first course cs concentration emphasis teaching programmi ng course centers following developing elegant efficient code abstract specification using building blocks program development literate programming writing program read human well machine programming methodology involves planning design program using object oriented design appropriate features java methodical efficient development implementation using step wise refinement incremental testing deb ugging using appropriate debugging tools able convince correctness implementation logical reasoning teaching learning method many topics em ploy flipped classroom model responsible content acquisition coming class use class time learning programming assignments topic preparation coming class include,yes
cs program design sprin g instructor patrick troy office seo phone email troy uic dot edu office hours tuesday thursday appointment lecture times th lc f call lab times monday sel call monday sel call monday sel call monday sel call monday sel call texts introduction computing programming n python th edition guzdial ericson pearson prentice hall publ isbn isbn signments lab assignments almost every week lab lect quizzes almost every week programming projects exam th ur lecture exam ues lecture final tba mon grading grade grade b grade c grade grade f url http www cs uic edu cs catalog description ntroduction programming control structures variables data types problem decomposition procedural programming input output aggregate data structures including arrays programming exercises course intended students little prior programming experience interested seeking major minor computer science college engineering majors wish pursu e cs path meeting computing requirement students ore welcome join cs may wish check similar less intense course cs learning objectives students able read understand make functional alterations create assembling small code fragme nts small programs near lines achieve use ful communication tasks students able design implement test debug scratch small program uses two standard control structures e g conditional iteration two iterations may nested,yes
cs integratedintroductiontocomputersciencehughes cs syllabus fall contents generalinformation courseschedule courseinformationandsyllabus generalinformation lectures chour onmondays wednesdays andfridays room salomon decicciofamilyauditorium lecturenotes https cs brown edu courses csci lectures xml text none theclasslecturenotesandonlinedocumentationforracket andocamlwillbeallthatwe lluse prerequisites familiaritywithhigh schoolalgebra instructor johnhughes jfh cs brown edu cit x professorshours monday tuesday byappointment orjuststopby headtas vedasunkara katiescholl harrietsmall annasabel utas audreykintisch alyssabaum charlesnjoroge codywest carmen zegura eleanoravril eliasberkowitz hanshalverson huayu ouyang heilaprecel jamieatschinow justincardozo james guesman lauracase maeheitmann nehachaudhari nikita ramoji peterhahn sethbarshay shawnahuang shoshanasimons zhaoyongzheng tahours see https cs brown edu courses csci staff xml timerequirements inadditiontothreehoursperweekinclass youwillspendtwohours perweekinlabsand hoursperweekonhomeworkand projects youmayalsochoosetoattendworkshops studentsviathe criticalreviewreported hoursperweekinlastyear scourse,yes
cs introduction programming data structures algorithms course outcomes course outcome followed parentheses program outcome relates write programs using basic statements data types expressions control flow library functions functions write classes use inheritance extend existing class write programs include recursive algorithms describe notion abstract data types use object oriented designs implement basic data structures vectors linked lists stacks queues use implement basic tree data structures binary trees priority queues balanced trees use implement hashing use implement fundamental graph algorithms topological sort shortest path depth first search breadth first search,yes
cs introduction computer science catalog description overview fundamental concepts computer science introduction problem solving software engineering object oriented programming includes algorithm design program dev elopment credits terms offered prerequisites enforced mth mpt score mpal co requisites enforced mth taken prereq courses require prerequisite cs cs cs structure cam pus three minute lectures one minute lab per week ecampus term totals course combines approximately hours instruction online activities assignments credits hours online instruction hours online partici pation hours online quizzes hours offline reading study hours offline homework lab assignments hours offline programming projects hours proctored exams instructors jennifer parham mocello joseph jess course cont ent identifiers primitive data types assignment arithmetic logical relational operators expressions statements flow control selection repetition recursion functions parameter passing including call value call reference dimensional arrays strings structured data types pointers error handling debugging learning resources one following absolute c savitch addison wesley c c programmer reference schildt osborne mcgraw hill big c horstmann budd wiley programming problem solving c th edition dale weems additional online resources,yes
course information sheet csci introduction computing programming brief course description words less extended course description comments b pre requisites co requisites c eeef g approved textbooks one listed textbook used instructor discretion h j k b c g l l nkop aef qrsatefutrvvmu h j k l u l nkop aef qrs atefveuvrts specific learning outcomes performance indicators e b v w f j x j z u,yes
computerscience csci fall syllabus instructors prof westurnerprof chuckstewart amoseaton lally b phone tbdx x e mail wdturner gmail comcvstewart gmail com hours tues mon thursafterclassuntil thur overview thiscourseisanintroductiontocomputerscienceemphasizingcomputationalthinking problem solving small scaleprogramming andapplications thisincludesbasicprogram mingconstructssuchasdata variables functions conditionals loops lists setsand dictionaries italsoincludes especiallyinthelatterpartofthesemester object oriented programmingandproblemsolving applicationswillincludeweb centriccomputing im ageprocessing numericalcomputing andgraphics previousprogrammingexperienceis neitherrequirednorexpected learningoutcomes demonstrateinthepurposeandbehaviorofbasicprogrammingconstructs designalgorithmsandprogramstosolvesmall scalecomputationalprograms write testanddebugsmall scaleprograms demonstrateanunderstandingofthewide spreadapplicationofcomputationalthink ingtoreal worldproblems python allprogrammingassignmentsthissemesterwillbewritteninpython aninterpretedlan guagewidely usedinbothacademicandcommercialsoftwaredevelopment muchofthe originalgooglesearchenginewaswritteninpython pythonhasasimplesyntax apower fulsetofprogrammingprimitives andarichsetoflibraries makingitidealforclassroom learningandforrapidprototyping textbook wewillusetheuniversityoftorontobook practicalprogramming anintroductionto computerscienceusingpython bycampbell gries montojoandwilson thisisavailable inbothprintandelectronicversions whilepurchaseofthisbookisnotmandatory willfollowitsorderandcoveragefairlyclosely theexamplesweuseinclasswilllargely complementratherthanrepeattheonesinthebook,yes
csc computer programming modern languages henry koffler description course course provides introduction programming using python programming language explore common computational problem solving techniques useful computer scientists also anyone large data sets repetitive processes ot needs computation prior programming experience assumed although students know basics using computer e g using web browser word processing program course prerequisites co requisites college algebra instructor contact information name allison obourn email aeobourn cs arizona edu office gs office hours mondays wednesday appointment name email jobagy cs arizona edu office gs office hours w e n e f r r appointment course section leaders contact information study center hours found course web site course web page http www c arizona edu classes cs spring course objectives expected learning outcomes students comfortable writ ing line programs python students able write programs solve problems using repetitive control structures selection students proficient using simple data structures strings lists students know h ow decompose problem students know debug test program absence class participation policy expected participate thursday discussion section student assigned section participation score included homework portion grade receive points section part cipate maximum points two points awarded su ccessful completion short take home problems due start week section lable http catalog arizona edu policy class attendance participation administrative drop ua policy regarding absences sincere ly held religious belief observance practice accommodated reasonable http policy arizona edu human resources religious accommodation policy,yes
cs introduction computer science course syllabus fall new format new format lecture lab components reci tations one lecture plus one recitation per week students attend lecture class students partitioned smaller groups attend citation lectures recitation lecture class meeting time wednesday pm room gitc instructor dr narain gehani recitation sections attached th e lecture class one recitation section meeting time monday pm pm room gitc c dr michael baltrush recitation section meeting time monday pm room gitc c recitation section time friday pm pm room gitc c instructor contact information instructor dr narain gehani office gitc email gehani njit edu office hours wednesday pm pm ta contact information ta tba office tba email tba office hours tba overview course comprehensive introduction java programming language teaching writing testing debugging programs topics covered f undamental java object oriented,yes
f sa software development course detailscourse code f safull course title software development scqf level scaf credits available elective nodelivery levelundergraduate yespostgraduate taught nopostgraduate research nocourse aimsto introduce object oriented paradigm use object oriented language learning outcomes subject masteryknowledge object oriented paradigmawareness contrast programming paradigmsmanipulating objects ideunderstanding using documentation apireading understanding adapting creating documenting object oriented code learning outcomes personal abilitiessharing work random partners laboratories using version control pair programming deriving creating solutions problems pdp competence use command line shell pdp reading running code modifying syllabusobjects classesclass definitions fields constructors methods parametersselection iterationobject interaction main method creating using class instances grouping objects collection classes iterators arrayslibrary classes documentationtesting debuggingcourse relationshipscourse codeleveltitleschooltype,yes
cse approved computational thinking context images animation gamescourse descriptionintroduction computational thinking focusing problem solving programming concepts skills needed manipulate digital images create interactive graphics animations games creativity prior course number cse cse transcript abbreviation comput thnkng artgrading plan letter gradecourse deliveries classroomcourse levels undergradstudent ranks freshmancourse offerings autumn springflex scheduled course nevercourse frequency every yearcourse length weekcredits repeatable notime distribution hr lec hr labexpected class hours per week graded component lecturecredit examination noadmission condition nooff campus nevercampus locations columbusprerequisites co requisites exclusions open students credit cse cse cross listings course required unit degrees majors minors nothe course gec nothe course elective units service course units yessubject cip code subsidy level baccalaureate coursegeneral information course goals recommended students little computer programming experience confident programming background competent using basic constructs provided high level imperative programming languages sequencing selection iteration familiar algorithmic thinking familiar simple media manipulation algorithms apply solve interesting media manipulation problems familiar using basic data structure interfaces arrays lists simple programs familiar procedural composition,yes
programmingi honors cop spring departmentofcomputerscience floridastateuniversity january classtimeandlocation lecture tuesdays thursdays amcarothers mch recitation mondays pm pm carothers mch instructorinformation instructor sharanyajayaraman email jayarama cs fsu edu cehoursforthiscoursewillbeheldatthecsmajorslab lov hours mondays pm pm beforeclass tuesdays pm afterclass classhomepage coursewebsite ww cs fsu edu jayarama cop php thiswebsitecontainsallinformationrelatedtothisclassincludinglectureslides assignments extramaterialhandedoutduringclassandlinkstosomeusefulresources theclasswillalsohave ablackboardpagewhichwillbeusedtopostgradesandforsendingoutannouncements prerequisites allstudentstakingcop arerequiredtohavepreviouslytakenandpassed withac orhighernalgrade mac ormac ormac ifyouhavenotcompletedthispre requisiterequirement thecsdepartmentwillmostlikely dropyoufromthiscourseintheweekofclasses tobesurethatyourcoursescheduleiscorrect ifyoudonothavethepre reqyoushoulddrop yourselffromthiscourseandthenadjustyourclassscheduleappropriatelywiththehelpof youracademicadvisor courseobjectives thiscourseisintendedformajorsincomputerscienceorrelatedareasandfocusesonthefun damentalconceptsofcomputerprogrammingusingthec language thiscoursemaybeused asaprogrammingpre requisiteforcop successfulcompletionofthiscoursethe computercompetencyrequirementforthemathematicsmajor uponsuccessfulcompletionofthe course thestudentshouldbeableto,yes
